,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
AKR,-0.14105609678597458,0.7833453002866698,-5.5534309975643605,1.1043579284649645,-0.0013436221300654537,-0.23113191171213518,-0.16394693434006397
AXDX,-0.3985647730366728,1.1548585913614413,-2.8975430582149824,1.2400552886904754,-0.002446908349290257,-0.37975625441696453,-0.3536654994631783
XLRN,0.5394875397513132,0.7884029565066639,1.4613923370131825,1.0093911362869312,0.0013829111864696762,0.6335434635665161,0.4948404258716693
ACN,0.23434723080568076,0.4515711161525339,1.9269317354424975,1.058469293368212,0.00015573239177712344,0.43038011921921326,0.18361159083532597
ACCO,0.000915897594723799,0.7654502757480555,835.7378381137545,1.0340818585001315,-0.0007386053601098308,-0.05106027608008931,-0.03779594631121869
ARAY,0.008062645911262331,0.9858324838393535,122.27158363264972,1.0324262048021873,-0.0007095000757584819,-0.032396329612062194,-0.030934273016497933
ACRX,-0.3707035553412767,1.3230348249965926,-3.5689833721140922,1.380227300184548,-0.0024386799750174726,-0.31042535508642743,-0.2975622604235999
ACER,-1.0669503682693968,2.1398931535245453,-2.0056163971295793,1.602445304283109,-0.005317884792248508,-0.5172923547356448,-0.690788238020153
ACHV,-0.8102462656418022,1.3784048859160332,-1.701217203172406,0.8542711391530377,-0.003778153488449432,-0.6168334676764893,-0.9952885292189247
ACHN,,,,,,,
ACIW,0.09019916159142533,0.6360601526144745,7.051730208930686,1.1620779354236472,-0.0004817081838870588,0.07892203494447134,0.043197758137559605
ACRS,0.6454632888366104,1.9394818859256266,3.004790387725022,0.955188808568115,0.0018357811481429169,0.312177851842968,0.6338676536047736
ACMR,0.984607767642267,1.3578246118163724,1.3790512897006766,1.468103062284844,0.002792434530893809,0.6956773057594368,0.6434206098393059
ACU,0.41062133491943476,0.6650319324035827,1.6195747172612551,0.3958271735161553,0.001319895801027164,0.5572985549429508,0.9363211010178618
ACNB,-0.05450368062144182,0.9103210996558228,-16.70201148393089,1.6627319227549815,-0.001406283938497942,-0.10381356716566505,-0.0568363903574177
ACOR,-1.4039013264999693,1.663218149458477,-1.1847115734301668,0.9968488218897492,-0.006199449679952975,-0.868137067269309,-1.4484656999069654
AIII,,,,,,,
ATNM,-0.4194904580665159,1.4012506232209778,-3.3403635202562594,0.5873079208274652,-0.0020601582955164562,-0.32791454323161007,-0.7823672076806563
ATVI,0.40214068420573384,0.5003811736261939,1.244293833672896,0.7242561862429299,0.0010510475994488094,0.7237296351126679,0.5000173848487705
ATU,,,,,,,
AYI,-0.016414081301697345,0.697917622959502,-42.519444745733765,1.2268766609921407,-0.0009446736214059802,-0.08083200573511078,-0.04598186850834449
GOLF,0.2941504698675137,0.47406933313989635,1.6116558758291928,0.8821453007747111,0.0005158903663898934,0.5361040086356202,0.28810499771898757
ADMS,-0.2510390219708545,1.303833555567668,-5.193748546865525,1.0610276032798178,-0.0017421438129067812,-0.22321792588329328,-0.274299199258533
ADMP,-0.5713178544236054,1.8023375434499769,-3.1547019395504976,0.8391768055637315,-0.0028340058499678245,-0.33918055840607986,-0.7284732494637314
AE,-0.08167535349876234,0.7483832220255144,-9.162901535979945,0.8605344513133832,-0.0009366686785214821,-0.16258428826002477,-0.141395098491474
ADUS,0.2141637148350657,0.7183467277822372,3.354194375716068,0.845915024270206,0.00022944536354049534,0.24245076659952775,0.2058879554542981
AEY,0.33156813416407244,1.2366611406795158,3.7297345952659287,1.0431541748280881,0.000546493539852029,0.23577043425482158,0.27950627165166925
IOTS,,,,,,,
ADNT,0.4167501174326273,1.2701526090200965,3.0477558515035863,1.9797140642546878,0.00020704621935857493,0.29661799279638085,0.19030531945756732
ADMA,-0.35085817356049126,1.2141932244273665,-3.4606382747358975,0.7545160278159807,-0.0019120723364355143,-0.32190772086117214,-0.5180250109356429
ADBE,0.27526124794774004,0.5397341417239099,1.9608068543901305,1.1430794992842523,0.0002548261825832311,0.4358835763035409,0.20581354848464223
ADT,0.028876692662947255,0.9119509199003424,31.580864558997785,1.0445949314700718,-0.0006369289659514018,-0.012197265329002898,-0.010648440847208375
ATGE,-0.10563942096187504,0.6113945993941399,-5.787561062217393,0.8418513784202823,-0.0010168690684827552,-0.2382085499384458,-0.1729989695273346
ADTN,0.09186881356351638,0.813648068390613,8.85662976182959,1.0039961178829193,-0.0003617273404218299,0.06374846273046814,0.05166236466420784
ADRO,,,,,,,
AAP,0.04644352268163664,0.5488600374529332,11.817795157686168,0.9933571051305817,-0.0005315340316259829,0.011739828447956902,0.006486612566977717
ADSW,,,,,,,
WMS,0.7474440214538507,0.7351070105572891,0.9834944015304786,1.3759849531070794,0.001932128821787398,0.9623687589614103,0.5141364517514438
ADES,-0.31609428992778493,0.9795661033178474,-3.098968043812622,1.2909310125387647,-0.0021612726403620183,-0.3635224705322824,-0.27584300514051824
AEIS,0.3730403699703654,0.8164668328135019,2.1886822406871476,1.6324260646326534,0.00028556118394154487,0.40790434661347574,0.20401559199883876
AMD,0.63687418191835,0.7642554216779066,1.2000100543813337,1.3094660997671528,0.0015479574167569761,0.7809878281372545,0.45581491725863327
ASIX,-0.06532946409035188,0.9581024391082283,-14.665701800081424,1.2221152987017414,-0.0011323320019462867,-0.10993549310696801,-0.08618619225390914
ADXS,-1.0279049325065859,1.7811446599642697,-1.7327912374356251,1.1562785064496768,-0.004845139924898657,-0.5995610331437136,-0.9235706852197403
ADVM,0.46518919375979884,1.4178734002017754,3.0479499937264163,1.4543114416766334,0.0007733542733300229,0.29987810879256976,0.2923646074527273
ACM,0.3285644274239558,0.6203543353490687,1.8880751644748452,1.2405259978506342,0.0003931022517868934,0.46516065251898786,0.23261457472389102
AEGN,0.22031535674105807,0.736473228668485,3.342813862649074,1.0604960749353727,9.946571841277607e-05,0.2448362679347642,0.17002925423561477
AGLE,-0.05379664239419889,1.0152759343588418,-18.872477708168702,1.5996295334122947,-0.001358232110431807,-0.09238536955318706,-0.05863647828138928
AEHR,0.2989731219062597,1.1089486884851085,3.7091919213821813,0.8165534617696909,0.0005818055431812362,0.23353030180326267,0.3171539085083239
AMTX,1.308502040671439,1.9313371667798584,1.4759909474721344,0.40610565157112144,0.004819865220177,0.6567998910239105,3.123576428360258
AERI,-0.460791227564896,0.9178316400467369,-1.9918600553598282,1.0720258918299614,-0.0025693820773813043,-0.5456242797855555,-0.467144712997593
ACY,-0.20155821694557938,2.485211549018545,-12.32999371933098,0.8170885816703028,-0.0013737790664230367,-0.09719825140880868,-0.29563283879427493
AJRD,0.20954446160872114,0.6332767196398035,3.022159186542045,0.9982611249838227,0.0001020592891383471,0.26772571350033997,0.1698397917793991
AVAV,0.11567289238677395,0.733506752721065,6.34121562611617,1.0076990170069589,-0.00027140030891528526,0.10316591102406732,0.07509473673154468
ARPO,-0.35893886306764494,1.775703433728025,-4.947091598140432,0.41296881201790786,-0.0016985016498719768,-0.22466525405657814,-0.966026613773307
AEMD,-1.0365685110992755,2.10317854602534,-2.028981705989631,0.18047060019058778,-0.004178623429146461,-0.5118768984848254,-5.965340116131683
GNMX,,,,,,,
AMG,0.1443268436447323,0.6884044374431143,4.7697602196418565,1.3709714805889746,-0.00042019937554705234,0.15154876693158048,0.07609701961116878
AFL,0.03555207708047041,0.6038735208768201,16.98560451221968,1.2226041753652186,-0.0007386143591829909,-0.007365653180273973,-0.0036380727378105835
MITT,-0.6715252569368018,1.817546697205019,-2.7065946938404895,1.7373186274401384,-0.003870056974364183,-0.3914756402302999,-0.4095536913601177
AGCO,0.3577685982580803,0.6461610445605146,1.8060865254988065,1.1687886538352552,0.0005586684992446232,0.49177925678606965,0.2718785789161766
AGEN,0.09579232950908065,0.9860882335064781,10.294020811060888,0.891792200668894,-0.00026586990966949453,0.05657944960025133,0.06256202898750772
AGE,-0.3334328126184986,1.91403214672722,-5.740383292502122,1.4431867117679664,-0.0023382784779939158,-0.1951026858441363,-0.25875571717330126
AGRX,0.34980211020225105,1.957543273864462,5.596144839528372,1.0809025572438336,0.0005906271720592223,0.15826067006460537,0.28661428185738386
A,0.2057637267164093,0.44576003604208386,2.166368403000621,0.942430837943244,0.0001273614071566066,0.3718676267801622,0.17588954015784453
AGYS,0.4874635224686366,0.8256951878262659,1.6938604629219023,1.160956365731155,0.0010709107007996726,0.5419233744678033,0.38542664968017987
AGIO,-0.13024250722429198,0.7938965677685755,-6.095525836287825,0.957826396519348,-0.0011962126720722584,-0.21443915257474505,-0.1777383749737295
AGNC,0.0587090962534281,0.5185987552746051,8.83336294321382,0.790278586279554,-0.00033786775629026625,0.03607624596692558,0.02367405188277482
ADC,0.02901707904835578,0.5414601230011296,18.660049210977036,0.9414184873197492,-0.0005623285991925809,-0.02028389623739902,-0.011666353592559006
AGFS,-0.3457386761657438,1.2296553323559407,-3.5566033456044583,1.0251094975961113,-0.0020862851299105387,-0.3136965831121906,-0.3762902178453166
AIMT,,,,,,,
AIRI,0.07374326099491088,1.1235151630824476,15.235496070074564,0.8109755186538672,-0.0002939951896720886,0.030033649837296124,0.04160823627687441
AL,0.17279365169135086,1.081487283194198,6.258836899436459,1.678471152251059,-0.0005297001221578144,0.12278799182838443,0.07911583795363801
APD,0.21528193960449316,0.4924266126084148,2.2873568192161406,1.026639040871964,0.00010410386390027546,0.35595545633899367,0.17073375609758565
AIRT,0.040644885303863426,1.8931326395596042,46.577389145188604,0.7088908197846526,-0.0003500173066545476,0.0003406445435399834,0.0009097103331925345
ATSG,0.14803826067403014,0.5804548813094476,3.9209787974175705,0.7958963427256502,7.042306001310518e-06,0.18612688798534477,0.135744135101864
AYR,,,,,,,
AIRG,0.22645158602701057,0.9238726156745439,4.079779841172527,1.065589873895865,0.00011977943354039475,0.20181525338412298,0.17497499797490718
AKS,,,,,,,
AKAM,0.1553236888932403,0.4681194021484256,3.013831344619824,0.6621916551253767,0.0001314637780346306,0.24635528534806353,0.1741545487633869
AKCA,,,,,,,
AKBA,-0.37965523732939005,1.7971952961398012,-4.733756101408787,1.684834436448497,-0.002692270662635545,-0.233505639721386,-0.2490780270457858
AKER,-1.0406577249224416,1.7237166848760213,-1.656372353363818,1.2299904844391354,-0.004947860213245464,-0.6269346548676984,-0.8785903131723916
AKRX,,,,,,,
AKTS,0.3422275481542835,0.9447456255906908,2.7605773722364955,1.1124056003020695,0.0005384286185259345,0.31990362269771766,0.2716882655680759
ALG,0.23656938883294018,0.6186675107036154,2.6151629919478045,1.093799023294883,0.00013905577947909023,0.31773025968242663,0.17971252912697655
ALRM,0.20709501544912262,0.6426979895929212,3.103396709955165,0.868746660476636,0.00018544649370004235,0.259989945751906,0.19234032549540542
ALK,0.08760054302511315,0.8503672212490381,9.707328195502813,1.4769701872176377,-0.0007178640690681593,0.055976455624896296,0.03222850632806917
ALSK,0.3593712513038537,0.7420599931790829,2.064884128841069,0.660209107857235,0.0009299474860801246,0.43038467811157044,0.48374257110811514
AIN,,,,,,,
ALB,0.2780628763930185,0.7452438008057781,2.680126921194754,1.2658635605328208,0.0001776452471660921,0.31944294757717995,0.1880636142909543
ALBO,0.05946203882524372,1.0193064650327002,17.14213782726819,1.3019452883609255,-0.0007021609169568277,0.019093412523994307,0.01494843062855991
AA,0.013133956797924786,0.9432201111173089,71.81538097234652,1.5833299438721702,-0.0010850858867155887,-0.02848332312406968,-0.016968063609263895
ALDX,0.20075247001840565,1.3808433682484902,6.8783381251642375,1.7445981442721121,-0.00046794677131468357,0.11641615096599238,0.09214297891247351
ALEC,-0.06760225861143007,1.0992964169134538,-16.261238004370266,1.2878344336696643,-0.0011883781608959141,-0.09788284302203949,-0.08355286657836838
ALEX,-0.0927182299551542,0.7768624162816049,-8.378745114713217,1.448761259515198,-0.0014019881138668273,-0.17083878325637156,-0.09160807488707007
ALX,-0.06812622556224476,0.4687283320107392,-6.880292106928441,0.6854351855652008,-0.0007580698386387381,-0.23067994438997866,-0.15774828581798775
ARE,0.09872831162146804,0.4570148543663001,4.629015191898858,0.9644753778488067,-0.00030656752975418165,0.12850416361827258,0.06089145764659886
ALXN,0.06866736868881435,0.5870679613194298,8.549446010956016,0.7975501889017477,-0.0003041872422579906,0.04883143107381417,0.03594428173641365
ALCO,0.016222537349254714,0.624680847137866,38.50697543110078,0.9091150647535432,-0.0005891224073561308,-0.03806337709838196,-0.02615451395824273
ALGN,0.42698574661180894,0.8475556200082804,1.9849740342242141,1.457412541053764,0.0006218963313044674,0.45659038472074337,0.2655293101375426
ALIM,0.43275300116741855,1.1298229243720137,2.6107801016379795,,,0.3476235016082023,
ALJJ,-0.1585719390517754,1.5860516357290018,-10.00209523332586,0.6178708851398673,-0.0010628810361459743,-0.12519891192603272,-0.32138096134247324
ALKS,-0.2647610407175918,0.6838448082218906,-2.5828755105677192,0.868066491154826,-0.0016572530533563237,-0.4456581918198967,-0.35108029606367497
ALLK,0.6067612210657843,1.2372461036788698,2.0390988427138277,0.6948768740429754,0.0018714327441733728,0.45808284979080327,0.8156282677364398
Y,0.01720876835810224,0.5626205259871072,32.6938287667876,1.1775858473053604,-0.0007779572737686245,-0.040509065327666405,-0.01935419969087634
ATI,-0.1641644623402295,1.011922676141496,-6.164078764162091,1.6816280002255646,-0.0018482084936806303,-0.20175895565332844,-0.12140881473955237
ABTX,0.0452164987475957,0.6851364859660698,15.152355997101624,1.225358621693511,-0.0007028396382019089,0.007613809590420848,0.004257120042446203
ALGT,0.33109674265137945,0.8841716135772961,2.670432836327429,1.5739724107491988,0.00016367235097100043,0.3292310431383592,0.18494399308614287
ALLE,0.13165936406193954,0.5081693556053761,3.859728164616581,1.0755503597207867,-0.00025765154125124,0.18037168721586294,0.08522089480378617
ALNA,-0.7589600805148453,1.7630975305217482,-2.3230438277145486,1.507391009669747,-0.004046575191991208,-0.45315705267785805,-0.5300284235408097
AGN,,,,,,,
ALE,-0.09235123836853779,0.549181652068334,-5.946662565333062,1.0160880271716748,-0.0010900155450910627,-0.24099719622837926,-0.1302556814264835
ADS,-0.22743047171886674,1.0990783455393855,-4.832590537375253,1.7020711448260568,-0.002110013833203227,-0.24332248270037757,-0.15712061891878015
LNT,0.05478719750087922,0.4146207580469556,7.56784024297468,0.758481465467746,-0.0003303661867465657,0.03566439261394766,0.0194957928098614
AMOT,0.07597845791280608,0.8407363936371249,11.065457456401202,1.440295909866794,-0.000736940910958696,0.04279398178204112,0.02497990702211572
ALSN,-0.04861149332871825,0.5333672390532641,-10.972039789984528,0.8631996506639423,-0.0008094258463875378,-0.16613598819081046,-0.10265469090558768
ALLO,0.06970704496783889,0.8517635968803475,12.21918957077194,0.9930189665864763,-0.0004404182082935117,0.03487710096632836,0.029915888787056588
MDRX,0.19496231052198523,0.7638301678808522,3.917835020706311,1.12118827389154,-4.312973220693282e-05,0.20287534721482403,0.1382125679785479
ALLY,0.2852231148202245,0.810296530544941,2.840921680052716,1.529764252003116,1.620765119454432e-05,0.30263379587137923,0.16030124543642754
ALNY,0.26710473153513875,0.6248751697245257,2.339438789171433,0.730359308657013,0.0005191830653703258,0.36344015979264654,0.31094932157808686
AOSL,0.5549487150699248,0.935664448922673,1.6860376887344934,1.3207576267669292,0.0012198318868818152,0.5503561834190007,0.3898888824367141
APT,0.6302409085051609,1.5989250347212076,2.537006108527013,-1.1219649048942637,0.0032671372115271203,0.36914858150812346,-0.5260778710014877
GOOG,0.3044684811642766,0.4621151533332457,1.5177766564411983,1.0110745460823414,0.00046365976896816784,0.572299954365617,0.26157169339197117
GOOGL,0.2986014637373534,0.46237509352268885,1.5484689449794156,1.019456300468011,0.0004347259643621504,0.5592893461608217,0.25366606064294756
ATEC,0.9900679784274989,1.0825569496786507,1.093416788812875,1.4341789079756944,0.0028381115841139217,0.8776147792589756,0.6624473230947837
ALPN,0.33094769195303847,1.4446868466399412,4.365302680052963,-0.111071389407741,0.0013724827783943346,0.20139152829537132,-2.6194656743238793
AMR,2.281212216673269,0.19231343646430768,0.08430317664384669,,,11.653955427546144,
ALTR,0.2531900276327455,0.6793167337165249,2.68303116069753,1.1217307464220712,0.00018393294339997038,0.31383008404104545,0.1900545458994925
AYX,0.10510118908266491,0.9933856082084758,9.45170665411931,1.2514245289437889,-0.0004876231362557258,0.06553466100648653,0.05202166617080038
ATUS,0.22614852514496234,0.5832111724831396,2.5788855890583338,1.0344002247637867,0.00014098109285286113,0.319178599326891,0.1799579318415856
ALT,0.7390813620692438,1.7378314263426318,2.351339805778807,-0.10297954656490416,0.0029609472353358574,0.4022722523441192,-6.788545739309883
ASPS,-0.4896120183121769,1.082922283546575,-2.211796775903698,1.1119008391059833,-0.0027105824098732282,-0.48905819591937405,-0.47631227505683693
AIMC,0.35234749237406376,0.904542895410096,2.567189819673254,1.6489023729607197,0.0001929042252837574,0.3453097624877741,0.18942752311843786
MO,-0.019184839794818234,0.42900025669521125,-22.36141981290263,0.7362692063538709,-0.0006033772350058819,-0.13795991697242005,-0.08038478220203113
ALTM,-0.35828565699415116,1.6736911715045886,-4.671387589294178,1.596191123738553,-0.002545174502158437,-0.23796842797235201,-0.24952253591117451
AMAG,,,,,,,
AMAL,0.05061718887871345,0.7577142865962491,14.969505485811327,1.1004535495452488,-0.0005920961001008528,0.014012127086064642,0.009648011843026808
AMRK,0.45987228007680286,0.7561953231415379,1.6443594360922262,0.21102110613061323,0.001644921647499596,0.5552431590458473,1.989716989811055
AMZN,0.297940795079526,0.441176787821935,1.4807532070395955,0.764134730599587,0.0006153950822110406,0.5846653817689847,0.337559313495841
AMBC,-0.07388058244560003,0.8543648978993812,-11.564133221722631,1.289991765573082,-0.00121445122749391,-0.13329267474073098,-0.08828008479186557
AMC,-0.2805317876803618,2.33909436457903,-8.338072429938657,1.127935614927038,-0.0019053712670125545,-0.13703243124098943,-0.284175606691075
AMCX,0.04591732485956879,0.8289679434359776,18.05348952647505,0.8449438899846783,-0.0004270700930611089,0.007138182973689127,0.0070032163433669985
DIT,0.1736639238159567,0.7097153766286685,4.086717385130613,0.27704362641619,0.00047953445424999487,0.1883345468022616,0.4824652548229334
AMCR,0.10380885406477416,0.5344655296804801,5.14855437424429,0.9928702133757378,-0.00030710125308755433,0.11938815605736267,0.06426706452178216
AMED,0.36290608957969944,0.6048497544612046,1.6666839489018022,0.8541256711831184,0.0008045773046666833,0.5338616527460471,0.37805454217576223
UHAL,0.24839718169169073,0.5079055749904391,2.0447316331505276,0.8809384359267207,0.0003380327776551091,0.4103069388352621,0.23656270766805987
