,Unnamed: 0,rendimiento,riesgo,coeficiente_variacion,beta,alfa,sharpie,teynor
0,RELV,15.196216325281565,0.3811042004614192,0.025078887553567245,,,39.76921877778121,
1,CRC,2.56128586421342,0.3925930582575069,0.1532796724265972,,,6.422135621561794,
2,CBL,2.2736572404446296,37.96708986066919,16.698686673301935,1.835110793792926,0.007387578204413094,0.0588314050047464,1.217178411243477
3,AVTR,1.8285558822695396,2.47931382225753,1.355886274134697,,,0.7213914859075712,
4,ARNC,1.7852392688717431,0.7480639659344641,0.4190272861336029,,,2.333008069292084,
5,ENPH,1.7791274911542738,1.2442991835185022,0.6993873062526945,1.5259811747170702,0.005707472287772037,1.3976763098377567,1.1396782083348589
6,WKHS,1.6893891134009602,1.9792550909733493,1.171580351307492,0.7205734381821286,0.00601258420924909,0.8333383205243295,2.2889951613565698
7,APPS,1.5955770647498937,1.1262446229338368,0.7058541062135256,1.5772670448580284,0.0049487285167013,1.3812070957530145,0.9862483780544041
8,PLUG,1.5532196042087043,1.119213579381288,0.7205765214066283,1.3648079633334036,0.004956224716619014,1.3520382812413931,1.1087417752991566
9,RVP,1.4872901043321227,1.4686898968168802,0.9874938941225626,1.191532684159749,0.004839744562881142,0.9854293322701152,1.2146457445711871
10,KOD,1.4411734517964847,1.2378624499089963,0.8589267644126719,1.1730761213456822,0.004674626189713975,1.1319298455975413,1.194443758849292
11,VSLR,1.3634547593881878,1.0851655653192611,0.7958940755806221,,,1.2195878690629305,
12,CELH,1.3300032503939132,1.163725221908542,0.8749792314897546,1.27252590090693,0.004159409226645603,1.1085118944816472,1.0137343762311848
13,OESX,1.2969182107605892,1.1293233128712965,0.8707745049003475,1.1064532144737886,0.004165364383076456,1.1129834976707278,1.1359885753130188
14,AXSM,1.2609797574904849,1.2518294959571392,0.9927435301962688,1.0503608289934174,0.004070642523149325,0.9753562776989316,1.1624383962038791
15,CDLX,1.2519862274462403,1.2622135986434373,1.0081689166965186,1.4702796233383222,0.0036936712860771775,0.9602069164433192,0.824323624029001
16,PRTS,1.2504031624109395,1.1769308096747009,0.9412410693247336,0.9262661348878592,0.004130348570061525,1.02844037428631,1.3067552799579356
17,TSLA,1.2178645580386271,1.0214410969016263,0.8387148555720014,1.3026165769110218,0.0036968717603273796,1.153139972154523,0.9042296704313196
18,TGTX,1.2009107278887563,1.1493991923992195,0.9571062741856792,1.6050495956092599,0.0033844463978878643,1.0100152632485393,0.7232865146750102
19,IAC,1.2006345940192225,0.3119613383807978,0.25983037631498,,,3.72044369357874,
20,NK,1.1828416644225064,1.7623821259337784,1.4899560769143336,1.2887274266253097,0.0035713702224076365,0.648464171081504,0.8867985896871747
21,RIOT,1.1798272432502883,1.68161358945115,1.425304932625982,1.5520131494494436,0.0033452640327248035,0.6778175737877501,0.7344185477130958
22,LEU,1.168050991727898,1.227585560764609,1.0509691524242801,0.5374153418072494,0.004125209360245844,0.9189184263663748,2.099030124325121
23,CRIS,1.1483515638787534,2.002916315808,1.7441664894353506,0.561835155459792,0.004028379208865355,0.5533688827291974,1.972734445518465
24,BASI,1.1257007214006804,0.9482862880190424,0.8423964469340609,0.5525579769809869,0.003947451561121565,1.1449081728986032,1.9648629947080445
25,SEDG,1.1144077839797422,0.9826728148403682,0.8817892597008559,1.2927656072054163,0.00330076304442623,1.0933525052835371,0.8310924872934233
26,EXPI,1.0886971589528374,0.965966067143504,0.8872679231317347,1.101944225620363,0.0033556714994452523,1.0856459606847066,0.9516789820850058
27,ACMR,1.0809462292591288,1.2962603753338773,1.1991904317223279,1.364068748295083,0.003112008613170009,0.8030379151187219,0.7631185968890369
28,EIDX,1.0725727369111382,1.0026749497800758,0.9348316578208408,1.0916817082794863,0.003301039809222559,1.0298180254105482,0.9458551234118364
29,PRVB,1.063232797889035,1.6869073254178406,1.5865832287783657,1.3859824962050122,0.003024976355376562,0.6065732138756253,0.7382725255843924
30,SNAP,1.0595076597238895,0.9081510840133652,0.8571444252229677,1.047152748018945,0.0032862537205592913,1.1226189977315335,0.9735997557688162
31,ZM,1.0447378530750149,0.9713498328988521,0.9297546078567392,,,1.0343728068357425,
32,ROKU,1.0300127701324309,1.0424509432216704,1.012075746485784,0.9949486636491311,0.0032135367100473928,0.9496972270683736,0.9950390470412842
33,NTRA,1.025195779277508,1.0186884206330806,0.993652569805727,1.292259756786876,0.0029526904450551898,0.9671218002706282,0.762382155834626
34,ATLC,1.0085999511329182,1.3095095256611962,1.2983438321509717,1.273031567693866,0.0029035159443979216,0.7396662125415651,0.7608609053486124
35,CVNA,1.0012197936963907,1.2529670149454557,1.2514405156930053,1.8697030181530525,0.002388959185786554,0.7671549068977165,0.5141029267021838
36,SAVA,0.9988514993800676,2.2509166125910838,2.2535047642098,1.043667246442823,0.003052153011312662,0.4259826836838307,0.918732960767106
37,SPWR,0.9961559132451422,1.1427841113539028,1.147194024709541,1.4834943179589364,0.0026835765302134,0.8366898907199063,0.6445295419538026
38,MLSS,0.9923366168213532,1.3568962846635988,1.3673750032625025,0.8101638192176145,0.0032167907000005365,0.7018492331250329,1.175486480920657
39,EVER,0.9906844848622206,1.1245131558375066,1.1350870766830452,1.1029256080665135,0.002972010584358209,0.8454187306987768,0.8619660998975445
40,RUBI,0.9877399070391378,1.1365964127485169,1.1507041526302133,1.5801496900259502,0.0025720179652597482,0.8338403116611229,0.5997785608675932
41,ATEC,0.9861990078320478,1.1381131697879974,1.1540400677241616,1.4332335308916182,0.0026855978043973296,0.8313751505118788,0.6601848110847749
