stocks
SPY
PIH
FLWS
CRDB
FCCY
SRCE
XXII
TWOU
DDD
MMM
HNR
EGHT
AOS
AHC
ATEN
AAC
AAON
AIR
AAN
ABT
ABBV
ABEO
ANF
ABMD
ABM
AXAS
ACIA
ACTG
ACHC
ACAD
AKR
AXDX
XLRN
ACN
ACCO
ARAY
ACRX
ACER
ACHV
ACHN
ACIW
ACRS
ACMR
ACU
ACNB
ACOR
AIII
ATNM
ATVI
ATU
AYI
GOLF
ADMS
ADMP
AE
ADUS
AEY
IOTS
ADNT
ADMA
ADBE
ADT
ATGE
ADTN
ADRO
AAP
ADSW
WMS
ADES
AEIS
AMD
ASIX
ADXS
ADVM
ACM
AEGN
AGLE
AEHR
AMTX
AERI
ACY
AJRD
AVAV
ARPO
AEMD
GNMX
AMG
AFL
MITT
AGCO
AGEN
AGE
AGRX
A
AGYS
AGIO
AGNC
ADC
AGFS
AIMT
AIRI
AL
APD
AIRT
ATSG
AYR
AIRG
AKS
AKAM
AKCA
AKBA
AKER
AKRX
AKTS
ALG
ALRM
ALK
ALSK
AIN
ALB
ALBO
AA
ALDX
ALEC
ALEX
ALX
ARE
ALXN
ALCO
ALGN
ALIM
ALJJ
ALKS
ALLK
Y
ATI
ABTX
ALGT
ALLE
ALNA
AGN
ALE
ADS
LNT
AMOT
ALSN
ALLO
MDRX
ALLY
ALNY
AOSL
APT
GOOG
GOOGL
ATEC
ALPN
AMR
ALTR
AYX
ATUS
ALT
ASPS
AIMC
MO
ALTM
AMAG
AMAL
AMRK
AMZN
AMBC
AMC
AMCX
DIT
AMCR
AMED
UHAL
AEE
AMRC
AAL
AAT
AXL
ACC
AEO
AEP
AEL
AXP
AFIN
AFG
AMH
AIG
AMNB
ANAT
AOBC
APEI
ARL
ARA
AMRB
AMS
AMSWA
AWR
AMSC
AMT
AVD
AWK
AMWD
CRMT
COLD
AMP
ABCB
AMSF
ASRV
ABC
ATLO
AME
AMGN
FOLD
AMKR
AMN
AMRX
AP
AMPH
APH
AMPE
AXR
ASYS
AMRS
ADI
PLAN
ANAB
AVXL
ANGI
ANGO
ANIP
ANIK
ANIX
AXE
NLY
ANSS
ATRS
ATEX
AM
AR
ANTM
ANH
AON
APA
AIV
APLS
APY
APEX
APOG
ARI
APEN
AMEH
APPF
APPN
APLE
AAPL
ARCI
APDN
AGTC
AIT
AMAT
AAOI
AREX
ATR
APVO
APTV
APYX
WTR
AQMS
AQB
WAAS
ARMK
ARAV
ABR
ARC
ABIO
RKDA
ARCB
ACGL
ARCH
ADM
AROC
ARNC
ACA
RCUS
ARDX
ARNA
ACRE
ARES
AGX
ARGO
ANET
ARKR
ARLO
AHH
ARMP
ARR
AFI
AWI
ARTX
ARQL
ARW
AROW
ARWR
ARTNA
AJG
APAM
ARTW
ARVN
ABG
ASNA
ASGN
AHT
AINC
ASH
ASPN
ASPU
AZPN
ASMB
ASRT
ASB
AC
AIZ
AGO
ASFI
ASTE
ATRO
ALOT
ASTC
ASUR
HOME
T
ATRA
ATH
ATNX
ATHX
ATKR
AAME
ACBI
AUB
ATLC
AAWW
AFH
ATO
ATNI
ATOS
ATRC
ATRI
LIFE
AUBN
BOLD
ADSK
ALV
ADP
AN
AUTO
AZO
AVLR
AVB
AGR
AVNS
AVTR
AVYA
AVEO
AVY
AVNW
CDMO
AVID
